Drug,Comments
Abacavir,"Antiretroviral drugs may be present in breast milk, and may reduce viral load in breast milk and reduce the risk of transmission through breast-feeding. However, the concentration of antiretroviral drugs in breast milk may not be adequate to prevent viral replication and there is therefore possibility of promoting the development of drug-resistant virus which could be transmitted to the infant. Avoid breast- feeding if possible. Otherwise, exclusive breast-feeding is recommended during the first months of life, then should be discontinued as soon as feasible"
Acetazolamide,Amount too small to be harmful
Aciclovir,"Significant amount in milk a%er systemic administration, but considered safe to use"
Alcohol,Large amounts may affect infant and reduce milk consumption
Allopurinol,Present in milk—not known to be harmful
Amiloride,Manufacturer advises avoid—no information available
Amitriptyline,Presence in milk possible; monitor infant
Amlodipine,Presence in milk possible; monitor infant
Amoxicillin,Trace amounts in milk; safe in usual dosage; monitor infant
Amoxicillin + clavulanic acid,Trace amounts in milk
Ampicillin,Trace amounts in milk; safe in usual dosage; monitor infant
Artemether + lumefantrine,Discontinue breast-feeding during and for 1 week a%er stopping treatment; present in milk in animal studies
Asparaginase,Breast-feeding contraindicated
Aspirin,Short course safe in usual dosage; monitor infant; regular use of high doses could impair platelet function and produce hypoprothrombinaemia in infant if neonatal vitamin K stores low; possible risk of Reye syndrome
Atenolol,Significant amounts in milk; safe in usual dosage; monitor infant
Atropine,Small amount present in milk; monitor infant
Azathioprine,Breast-feeding contraindicated
Azithromycin,Present in milk; limited information available—use only if no suitable alternative
Beclometasone,Systemic effects in infant unlikely with maternal dose of less than equivalent of prednisolone 40 mg daily; monitor infant’s adrenal function with higher doses—the amount of inhaled drug in breast milk is probably too small to be harmful
Benzathine penicillin,Trace amounts in milk; safe in usual dosage; monitor infant
Benzyl- penicillin,Trace amounts in milk; safe in usual dosage; monitor infant
Betamethasone,Systemic effects in infant unlikely with maternal dose of less than equivalent of prednisolone 40 mg daily; monitor infant’s adrenal function with higher doses
Bleomycin,Breast-feeding contraindicated
Bupivacaine,Amount too small to be harmful
Carbamazepine,"Continue breast-feeding; adverse effects possible (severe skin reaction reported in 1 infant), monitor infant for drowsiness"
Cefixime,Probably present in milk but safe in usual dosage; monitor infant
Ce%azidime,Excreted in low concentrations; safe in usual dosage; monitor infant
Ce%riaxone,Excreted in low concentrations; safe in usual dosage; monitor infant
Chlorambucil,Breast-feeding contraindicated
Chloramphenicol,Continue breastfeeding; use alternative drug if possible; may cause bone-marrow toxicity in infant; concentration in milk usually insufficient to cause ‘gray baby syndrome’
Chloroquine,"For malaria prophylaxis, amount probably too small to be harmful; inadequate for reliable protection against malaria; avoid breast-feeding when used for rheumatic disease"
Chlorpheni- ramine,Safe in usual dosage; monitor infant for drowsiness
Chlorpromazine,Continue breast-feeding; adverse effects possible; monitor infant for drowsiness
Ciclosporin,Present in milk—manufacturer advises avoid
Ciprofloxacin,Continue breast-feeding; use alternative drug if possible; high concentrations in breast milk
Cisplatin,Breast-feeding contraindicated
Clindamycin,Amount probably too small to be harmful but bloody diarrhoea reported in 1 infant
Clofazimine,Limited information available—can cause reversible skin discoloration in nursing infant
Clomifene,May inhibit lactation
Clomipramine,Small amount present in milk; continue breastfeeding; adverse effects possible; monitor infant for drowsiness
Cloxacillin,Trace amounts in milk; safe in usual dosage; monitor infant
Codeine,Amount too small to be harmful
"Contraceptives, oral",Combined oral contraceptives may inhibit lactation—use alternative method of contraception until weaning or for 6 months a%er birth; progestogen-only contraceptives do not affect lactation (preferably start 6 weeks a%er birth or later)
Cyclophospha- mide,Breast-feeding contraindicated during and for 36 hours a%er stopping treatment
Cytarabine,Breast-feeding contraindicated
Dacarbazine,Breast-feeding contraindicated
Dactinomycin,Breast-feeding contraindicated
Dapsone,Although significant amount in milk risk to infant very small; continue breast-feeding; monitor infant for jaundice
Daunorubicin,Breast-feeding contraindicated
Deferoxamine,Manufacturer advises use only if potential benefit outweighs risk—no information available
Dexamethasone,Systemic effects in infant unlikely with maternal dose of less than equivalent of prednisolone 40 mg daily; monitor infant’s adrenal function with higher doses
Diazepam,Continue breast-feeding; adverse effects possible; monitor infant for drowsiness
Didanosine,see abacavir
Digoxin,Amount too small to be harmful
Diloxanide,Manufacturer advises avoid
Dimercaprol,Avoid
Doxorubicin,Contraindicated
Doxycycline,Continue breastfeeding; use alternative drug if possible (absorption and therefore discoloration of teeth in infant probably usually prevented by chelation with calcium in milk)
Efavirenz,see abacavir
