Medicine,Comment,Cat.
Abacavir,Toxicity in animal studies;,C
Acetazolamide,Not used to treat hypertension in pregnancy First trimester: Avoid (toxicity in animal studies),C
Aciclovir,Not known to be harmful; limited absorption from topical preparations,B
Albendazole,First trimester: avoid in nematode infections,C
Alcohol,First and second trimesters: Regular daily drinking is teratogenic (fetal alcohol syndrome) and may cause growth retardation; Third trimester: Withdrawal may occur in babies of alcoholic mothers,C
Allopurinol,Toxicity not reported; use only if no safer alternative and disease carries risk for mother or child,C
Amiloride,Not used to treat hypertension in pregnancy,B
Amitriptyline,"Manufacturer advises avoid unless essential, particularly during first and third trimesters",C
Amlodipine,No information on use in humans; risk to fetus should be balanced against risk of uncontrolled maternal hypertension,C
Amoxicillin,Not known to be harmful,B
Amoxicillin + clavulanic acid,See Amoxicillin,B
Amphotericin B,Not known to be harmful but use only if potential benefit outweighs risk,B
Ampicillin,Not known to be harmful,B
Artemether,First trimester: Avoid,X
Artesunate,First trimester: Avoid,C
Asparaginase,Avoid,C
Atenolol,"May cause intrauterine growth restriction, neonatal hypoglycaemia, and bradycardia; risk greater in severe hypertension",D
Atropine,Not known to be harmful,C
Azathioprine,Transplant patients should not discontinue azathioprine on becoming pregnant; use in pregnancy should be carefully supervised; there is no evidence that azathioprine is teratogenic but premature birth and low birth weight and spontaneous abortion reported following maternal or paternal exposure,D
Azithromycin,Limited information available; use only if adequate alternatives not available,B
Beclometasone,"Benefit of treatment, for example in asthma, outweighs risk",C
Benzathine penicillin,Not known to be harmful,B
Benzyl penicillin,Not known to be harmful,B
Bleomycin,Avoid (teratogenic and carcinogenic in animal studies);,D
Bupivacaine,"Third trimester: With large doses, neonatal respiratory depression, hypotonia, and bradycardia a#er paracervical or epidural block; lower doses of bupivacaine for intrathecal use during late pregnancy",C
Calcium,Manufacturer advises use only if potential benefit outweighs risk,C
Carbamazepine,"First trimester: Risk of teratogenesis including increased risk of neural tube defects; risk of teratogenicity greater if more than one antiepileptic used; Third trimester: May possibly cause vitamin K deficiency and risk of neonatal bleeding; if vitamin K not given at birth, neonate should be monitored closely for signs of bleeding",D
Cefazolin,Not known to be harmful,B
Cefixime,Not known to be harmful,B
Ce#azidime,Not known to be harmful,B
Ce#riaxone,Not known to be harmful,B
Chlorambucil,Avoid; use effective contraception during administration to men or women,D
Chloramphenicol,Third trimester: Neonatal “grey” syndrome,C
Chloroquine,First and third trimesters: Benefit of prophylaxis and treatment in malaria outweighs risk,C
Chlorpheni- ramine,No evidence of teratogenicity,C
Chlorpromazine,Third trimester: Extrapyramidal effects in neonate occasionally reported or withdrawal symptoms a#er delivery,C
Ciclosporin,"Only few studies available; but it does not appear to be any more harmful than azathioprine; use in pregnancy should be supervised in specialist units, take into consideration alcohol content of various cyclosporine formulations",C
Ciprofloxacin,Avoid (arthropathy in animal studies); safer alternatives available,C
Cisplatin,Avoid (teratogenic and toxic in animal studies);,D
Clindamycin,Not known to be harmful,B
Clomifene,Possible effects on fetal development,X
Clomipramine,"Manufacturer advises avoid unless essential, particularly during first and third trimesters",C
Cloxacillin,Not known to be harmful,B
Codeine,Third trimester: Depresses neonatal respiration; withdrawal effects in neonates of dependent mothers; gastric stasis and risk of inhalation pneumonia in mother during labour,C
"Contraceptives, Oral",Avoid; risk of developmental defects in sex organs and also non-genital malformations,X
Cyclophospha- mide,Avoid; use effective contraception during and for at least 3 months a#er administration to men or women;,D
Cytarabine,Avoid (teratogenic in animal studies),D
Dactinomycin,Avoid (teratogenic in animal studies),D
Dapsone,"Third trimester: Neonatal haemolysis and methaemoglobinaemia; folic acid, 5 mg daily, should be given to mother",C
Daunorubicin,Avoid (teratogenic and carcinogenic in animal studies),D
Deferoxamine,Teratogenic in animal studies; manufacturer advises use only if potential benefit outweighs risk,C
Dexamethasone,"Benefit of treatment, for example in asthma, outweighs risk; risk of intrauterine growth retardation on prolonged or repeated systemic treatment; corticosteroid cover required by mother during labour; monitor closely if fluid retention",C
Diazepam,"Avoid regular use (risk of neonatal withdrawal symptoms); use only if clear indication such as seizure control (high doses during late pregnancy or labour may cause neonatal hypothermia, hypotonia, and respiratory depression)",D
Didanosine,Avoid if possible in first trimester; increased risk of lactic acidosis and hepatic steatosis;,B
Diethyl- carbamazine,Avoid: Delay treatment until a#er delivery,X
Digoxin,May need dosage adjustment,C
Doxorubicin,Avoid (teratogenic and toxic in animal studies); with liposomal product use effective contraception during and for at least 6 months a#er administration to men or women,D
Doxycycline,First trimester: Effects on skeletal development in animal studies Second and third trimesters: Dental discoloration; maternal hepatotoxicity with large doses,D
Efavirenz,Avoid (potential teratogenic effects),D
Eflornithine,Avoid,C
Emtricitabine,No information available; use only if essential,B
Enalapril,Avoid; may adversely affect fetal and neonatal blood pressure control and renal function; also possible skull defects and oligohydramnios; toxicity in animal studies,"C, D*"
Ephedrine,Increased fetal heart rate reported with parenteral ephedrine; potential; metabolic acidosis (umbilical artery pH of ≤7.2 in newborns at delivery with maternal ephedrine exposure),C
Ergocalciferol,High doses teratogenic in animals but therapeutic doses unlikely to be harmful,C
Erythromycin,Not known to be harmful,B
Estradiol cypionate,Avoid - risk of developmental and psycho-sexual defects,X
Ethambutol,Not known to be harmful,B
Ethosuximide,First trimester: May possibly be teratogenic; risk of teratogenicity greater if more than one antiepileptic used,C
Etoposide,Avoid (teratogenic in animal studies),D
Fluconazole,Avoid (multiple congenital abnormalities reported with long-term high doses),D*
Flucytosine,Teratogenic in animal studies; manufacturer advises use only if potential benefit outweighs risk,C
Fluorouracil,Avoid (teratogenic),D
Fluoxetine,"Use only if potential benefit outweighs risk; risk of neonatal withdrawal, potential risk of persistent pulmonary hypertension in the newborn.",C
Fluphenazine,Third trimester: Extrapyramidal effects in neonate occasionally reported,C
Furosemide,Not used to treat hypertension in pregnancy,C
Gentamicin,"Second and third trimesters: Auditory or vestibular nerve damage; risk probably very small with gentamicin, but avoid unless essential (if given, serum gentamicin concentration monitoring essential)",D
Glibenclamide/ Glyburide,"Third trimester: Neonatal hypoglycaemia; insulin is normally substituted in all diabetics; if oral drugs are used, therapy should be stopped at least 2 days before delivery",C
Griseofulvin,Avoid (fetotoxicity and teratogenicity in animals); use effective contraception during and for at least 1 month a#er administration (important: effectiveness of oral contraceptives reduced; also men should avoid fathering a child during and for at least 6 months a#er administration,X
Haloperidol,Third trimester: Extrapyramidal effects in neonate occasionally reported,C
Halothane,Third trimester: Depresses neonatal respiration,C
Heparin,Maternal osteoporosis has been reported a#er prolonged use; multidose vials may contain benzyl alcohol; some manufacturers advise avoid,C
Hydralazine,Avoid during first and second trimesters; no reports of serious harm following use in third trimester,C
Hydrochloro- thiazide,Not used to treat hypertension in pregnancy Third trimester: May cause neonatal thrombocytopenia,B
Hydrocortisone,"Benefit of treatment, for example in asthma, outweighs risk; risk of intrauterine growth retardation on prolonged or repeated systemic treatment; corticosteroid cover required by mother during labour; monitor closely if fluid retention",C
Ibuprofen,Avoid unless potential benefit outweighs risk Third trimester: With regular use closure of fetal ductus arteriosus in utero and possibly persistent pulmonary hypertension in the newborn; delayed onset and increased duration of labour,C*
Indinavir,Avoid if possible in first trimester; theoretical risk of hyperbilirubinaemia and renal stones in neonates if used at term,C
Insulin,Insulin requirements should be assessed frequently by an experienced diabetes clinician,B
Iodine,Second and third trimesters: Neonatal goitre and hypothyroidism,D
Ipratropium bromide,Not known to be harmful,B
Isoniazid,Not known to be harmful,C
Ivermectin,Delay treatment until a#er delivery,C
Ketamine,Third trimester: Depresses neonatal respiration,C
Lamivudine,Avoid if possible in first trimester; benefit of treatment considered to outweigh risk in second and third trimesters;,C
Levamisole,Third trimester: Avoid,C
Levodopa + carbidopa,Toxicity in animal studies,C
Levonorgestrel,Avoid,X
